"creelID","Region","FishingMode","site_method","species","species_group"
"AQ_BoatLaunch_20180513_creel_1","Rural","Boat","Rural Boat","northern_pike","Gamefish"
"AQ_BoatLaunch_20180513_creel_1","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"AQ_BoatLaunch_20180513_creel_2","Rural","Boat","Rural Boat","black_crappie","Panfish"
"BH_BoatLaunch_20180516_creel_1","Rural","Boat","Rural Boat","walleye","Gamefish"
"BH_BoatLaunch_20180516_creel_2","Rural","Boat","Rural Boat","walleye","Gamefish"
"BH_BoatLaunch_20180516_creel_2","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"OB_BoatLaunch_20180517_creel_1","Rural","Boat","Rural Boat","walleye","Gamefish"
"OB_BoatLaunch_20180517_creel_5","Rural","Boat","Rural Boat","walleye","Gamefish"
"OB_BoatLaunch_20180517_creel_7","Rural","Boat","Rural Boat","walleye","Gamefish"
"OB_BoatLaunch_20180517_creel_8","Rural","Boat","Rural Boat","walleye","Gamefish"
"OB_BoatLaunch_20180517_creel_8","Rural","Boat","Rural Boat","muskellunge","Gamefish"
"LC_BoatLaunch_20180519_creel_2","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"LC_BoatLaunch_20180519_creel_2","Rural","Boat","Rural Boat","bluegill","Panfish"
"LC_BoatLaunch_20180519_creel_2","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"LC_BoatLaunch_20180519_creel_2","Rural","Boat","Rural Boat","black_crappie","Panfish"
"MS_BoatLaunch_20180520_creel_1","Rural","Boat","Rural Boat","largemouth_bass","Gamefish"
"MS_BoatLaunch_20180520_creel_1","Rural","Boat","Rural Boat","bluegill","Panfish"
"MS_BoatLaunch_20180520_creel_1","Rural","Boat","Rural Boat","black_crappie","Panfish"
"MS_BoatLaunch_20180520_creel_3","Rural","Boat","Rural Boat","bluegill","Panfish"
"MS_BoatLaunch_20180520_creel_3","Rural","Boat","Rural Boat","yellow_perch","Panfish"
"MS_BoatLaunch_20180520_creel_3","Rural","Boat","Rural Boat","black_crappie","Panfish"
"FD_BoatLaunch_20180521_creel_1","Rural","Boat","Rural Boat","walleye","Gamefish"
